Plot,TreeID,TreeID_new,Species,Sector ,DBH_u_92,DBH_u_94,DBH_u_97,FOUND_09,Tag_hgt,DBH_Tag_Hgt_09,DBH_BH_09,DBH_Corr_Factor,DBH_c_92_live,DBH_c_94_live,DBH_c_97_live,DBH_09_live,DBH_19_live,DBH_92_dead,DBH_94_dead,DBH_97_dead,DBH_09_dead,DBH_19_dead,,HGT_92,HGT_94,HGT_97,HGT_19,COMMENTS_1992,COMMENTS_1994,COMMENTS_1997,COMMENTS_2009,COMMENTS_2019_May,COMMENTS_2019_Oct,Comments_2020_data,Conk,Blind_Conk,Scar,Fork_Crook,Frost_Crack,Mistletoe,R_Branch,DB_Top,Crown_Class,L_Crown
3,274,N/A,Bl,1,21.3,21.6,22.1,Y,1,23.5,23.1,0.982978723,20.93744681,21.23234043,21.72382979,23.1,23.9,,,,,,,,,,15.5,natural,,DBH at 1.0m ,,,"spike top, height taken at live crown",,,,,,,,,,,4
3,276,301,Bl,1,20.9,21.7,22.4,Y,1.3,25.5,25.5,1,20.9,21.7,22.4,25.5,28.9,,,,,,,,,,20.2,,,,,,,,,,,,,,,,,6
3,277,302,Bl,1,21.3,22.6,23.6,Y,0.97,25.9,25.2,0.972972973,20.72432432,21.98918919,22.96216216,25.2,26.4,,,,,,,,,,17.5,,,Dbh at 1.0 m,,,dead top,,,,,,,,,,,5
3,279,N/A,Sx,1,43.8,43.6,43.5,Y,1.2,43.8,43.5,0.993150685,43.5,43.30136986,43.20205479,43.5,,,,,,43.5,,23.5,27,27.2,,,,,,"Grey, died 2019",,,,,,,,,,,,6
3,280,,Sx,1,25.6,25.6,,,,,,,25.6,25.6,,,,,,25.6,,,,19.7,20.6,,,,,windthrown - dead,,DEAD - Windthrown ('97),,,,,1,,,,,,,3
3,281,N/A,Bl,1,24.6,24.7,24.8,Y,1.2,25.8,25.6,0.992248062,24.40930233,24.50852713,24.60775194,25.6,26.5,,,,,,,,,,24.3,,,,,,,,,,,,,,,,,4
3,282,N/A,Bl,1,13.3,13.5,13.6,Y,1.04,14.7,14.5,0.986394558,13.11904762,13.31632653,13.41496599,14.5,15.1,,,,,,,,,,14.3,,,Dbh at 1.0m,,,,,,,,,,,,,,3
3,283,N/A,Bl,1,16.5,17,17.3,Y,1.2,18.5,18.5,1,16.5,17,17.3,18.5,20,,,,,,,,,,17.5,,,,,,,,,,1,,,,,,,5
3,284,N/A,Bl,1,20.3,20.6,20.8,Y,,,,,20.3,20.6,20.8,,,,,,20.8,,,,,,,,,,Top broken off - dead,DEAD (2009),standing dead,,,,,3,,,,,,4
3,285,303,Bl,1,21,21.7,22.2,Y,1.14,24.5,24.3,0.991836735,20.82857143,21.52285714,22.01877551,24.3,26.7,,,,,,,,,,19.7,,,checking on stem,,Tag overgrown,,,,,,,,,,,,6
